episode,reward,score,x-pos,y-pos,z-pos
1,-1,0,0.279209833836,0.339750821477,0.0
2,-1,0,0.277489513337,0.327017910347,0.0
3,-1,0.25458697922,0.301917653528,0.173704560762,0.0
4,-1,0.299776349927,0.76065723639,-0.0710007542073,0.0
5,-1,0.299776349927,-0.28203419305,-0.0370944810431,0.0
6,-1,0.299776349927,-0.000799769728131,0.0275269528632,0.0
7,-1,0.299776349927,-0.000148882468184,0.00126110038131,0.0
8,-1,0.299776349927,0.00755035426459,7.49611812649e-05,0.0
9,-1,0.299776349927,0.152596960669,1.70554824982e-07,0.0
10,-1,0.299776349927,0.365445233646,-2.68939944406e-05,0.0
11,-1,0.300146793431,0.771016515372,0.000180083859235,0.0
12,-1,0.300146793431,-1.19082787925,0.000680054358979,0.0
13,-1,0.300165907232,-0.641244036142,-0.0100419885272,0.0
14,-1,0.303830619658,-13.2208164676,-1.52721464034,0.0
15,-1,0.303830619658,2.72714441111,2.00123105096,0.0
16,-1,0.303830619658,2.05127172675,1.91433242442,0.0
17,-1,0.303830619658,-3.10244959485,1.41743829521,0.0
18,0.0105411100241,0.303830619658,-2.44376559449,29.0869590942,34.2575353667
19,0.825041609061,0.427496790716,-3.20838069061,3.11552000119,37.1791600649
20,0.817148988273,0.455769192458,-3.36786877992,-2.86288986448,36.9211692331
21,0.594414759505,0.455769192458,-3.1352836169,10.5635176358,36.680956513
22,-1,0.455769192458,-10.0899663121,1.88971906606,0.0
23,-1,0.455769192458,2.57323022048,1.9313244732,0.0
24,-1,0.455769192458,-0.538827773074,1.95660275404,0.0
25,-1,0.455769192458,-2.93501473474,1.93427757465,0.0
26,-1,0.455769192458,1.88788142753,1.9852316516,0.0
27,-1,0.455769192458,-7.8783533114,2.78236438734,0.0
28,-1,0.455769192458,-1.15983633255,-0.35514899305,0.0
29,-1,0.455769192458,-3.31250452761,3.00910000611,0.0
30,-1,0.455769192458,-4.01116083757,0.981809997758,0.0
31,-1,0.455769192458,2.08070820564,2.54105206122,0.0
32,0.493868455882,0.455769192458,-3.19551345533,13.7008500981,36.6045426265
33,-1,0.455769192458,-2.04950482336,4.82095613077,0.0
34,-1,0.455769192458,2.61736539813,-4.47520357103,0.0
35,-1,0.455769192458,-1.04561090439,6.47433127745,0.0
36,-1,0.455769192458,-1.79685689543,4.29807324227,0.0
37,-1,0.455769192458,-1.93452027921,0.485130830663,0.0
38,-1,0.455769192458,-3.77318971009,-1.54010912237,0.0
39,-1,0.455769192458,-3.02457036748,2.15731175901,0.0
40,-1,0.455769192458,-1.104199352,-2.31381000598,0.0
41,-1,0.455769192458,-1.6259701201,-3.65550173361,0.0
42,-1,0.455769192458,-1.87308020924,0.152503972282,0.0
43,-1,0.455769192458,-2.75994079147,-3.80574143488,0.0
44,-1,0.455769192458,-1.91887977395,2.70779430368,0.0
45,-1,0.455769192458,-2.03247907212,3.52869563556,0.0
46,-1,0.455769192458,-1.3599383445,0.755832684646,0.0
47,-1,0.455769192458,-0.60758170648,0.0893291876399,0.0
48,-1,0.455769192458,-0.654700422717,-0.486347299425,0.0
49,-1,0.455769192458,-1.78164279438,0.496568044207,0.0
50,-1,0.455769192458,-1.64239983552,4.08254081723,0.0
51,-1,0.455769192458,-1.81960672274,-0.144562922903,0.0
52,-1,0.455769192458,1.86230329818,-1.86855521496,0.0
53,-1,0.455769192458,-1.47543441312,-2.89170209348,0.0
54,-1,0.455769192458,-0.616710323561,-3.44311421361,0.0
55,-1,0.455769192458,-1.30240654738,3.24988505184,0.0
56,-1,0.455769192458,-1.51361972151,5.97837235539,0.0
57,-1,0.455769192458,-0.00406491491081,-0.883742804329,0.0
58,-1,0.455769192458,-0.218291151882,4.07974111694,0.0
59,-1,0.455769192458,-1.35696040273,4.79199370676,0.0
60,-1,0.455769192458,-0.341067680398,-2.3637687824,0.0
61,-1,0.455769192458,-0.13433024073,-0.827936227163,0.0
62,-1,0.455769192458,-1.21024144927,0.38645063067,0.0
63,-1,0.455769192458,-1.4861237553,-1.11537237458,0.0
64,-1,0.455769192458,-1.12345734503,0.775485342171,0.0
65,-1,0.455769192458,-1.80079952637,-1.61466334075,0.0
66,-1,0.455769192458,-1.09224989155,2.71806870401,0.0
67,-1,0.455769192458,-2.44598889068,0.181500391703,0.0
68,-1,0.455769192458,-0.0881295717808,-1.51860116247,0.0
69,-1,0.455769192458,-0.78540057592,1.52228178258,0.0
70,-1,0.455769192458,-1.51541583266,1.96638314888,0.0
71,-1,0.455769192458,-2.81462262384,-1.82799114798,0.0
72,-1,0.455769192458,-2.05016817186,-6.00423620184,0.0
73,-1,0.455769192458,-0.364156142501,-3.07461774773,0.0
